Char	Level
夕	6
瞎	6
厢	6
橡	6
歇	6
斜	6
胸	6
宴	6
痒	6
裔	6
悠	6
屿	6
皂	6
燥	6
摘	6
睁	6
执	6
秩	6
骤	6
煮	6
姿	6
